sfp_step1,sfp_step2,AcpS_step1,Acps_step2
1629.946,1528.431,1423.547,1617.342
1374.433,1302.876,972.19,1289.781
1410.81,1370.956,858.372,1321.022
1724.24,1694.235,845.067,1448.067
1381.514,1347.432,821.285,1372.441
1404.332,1339.569,1024.5,1436.122
1293.16,1280.519,1048.378,1367.817
1519.954,1458.628,1164.322,1297.28
1337.246,1282.592,1376.061,1366.631
1544.273,1504.831,1462.52,1359.699
1254.978,1198.839,1463.538,1391
1479.221,1423.981,1324.432,1303.98
1320.135,1255.22,1225.648,1215.803
1315.238,1272.045,1402.379,1436.524
1296.536,1241.691,1507.306,1483.674
1406.391,1352.463,1514.258,1462.895
1348.624,1326.404,1377.323,1329.151
1587.155,1546.966,1587.743,1492.188
1433.068,1383.999,1500.398,1408.254
1837.034,1771.219,1589.844,1546.761
1287.666,1245.969,1247.899,1164.504
1574.044,1531.257,1435.125,1367.996
1473.694,1453.468,1496.692,1455.153
1451.735,1413.915,1453.95,1385.282
1553.267,1519.675,1466.855,1405.253
1254.63,1218.512,1352.704,1288.287
1935.72,1748.182,1964.806,1766.714
1412.921,1353.669,1392.153,1332.64
1439.881,1401.218,1507.689,1435.963
1702.485,1618.998,1761.42,1700.359
1410.428,1358.662,1285.313,1417.313
1344.115,1302.292,1109.921,1408.655
2189.245,2098.676,1517.485,2182.924
1233.234,1181.384,811.31,1266.24
1467.54,1426.364,875.188,1486.857
1715.062,1670.622,1070.752,1708.376
1226.498,1211.374,1238.626,1350.487
1280.24,1236.102,1380.272,1377.893
1385.007,1315.534,1453.696,1382.274
1398.184,1332.429,1461.818,1382.079
1476.015,1417.106,1456.025,1389.909
1248.001,1188.251,1341.619,1325.326
1236.981,1185.871,1263.651,1294.535
1691.11,1609.596,1507.365,1506.227
1278.569,1238.265,1387.229,1361.182
1375.363,1326.326,1291.114,1234.398
1522.462,1451.231,1464.968,1393.959
1243.681,1196.463,1338.704,1260.932
1490.767,1424.551,1453.716,1343.908
1566.354,1521.511,1485.906,1430.394
1393.046,1355.908,1260.016,1191.71
1403.896,1374.194,1375.9,1314.993
1662.289,1505.358,1447.481,1417.912
1719.751,1735.29,1486.442,1400.906
1222.458,1197.324,1365.42,1314.285
1415.282,1389.905,1336.605,1295.236
1383.031,1327.488,1461.521,1368.084
1367.549,1314.579,1454.528,1373.993
1338.442,1286.27,1435.237,1378.634
1453.928,1406.627,1548.433,1498.374
1273.911,1213.899,1219.472,1286.619
1383.124,1346.822,1150.737,1368.352
1409.269,1368.464,1101.113,1405.882
1558.434,1537.57,1047.264,1565.789
1289.199,1248.296,821.008,1372.939
1282.978,1251.402,791.223,1322.683
1233.347,1204.901,1445.642,1387.057
1232.714,1180.782,1461.132,1391.458
1292.534,1245.388,1206.971,1133.429
1649.645,1540.356,1470.808,1398.21
1359.168,1314.854,1397.966,1393.37
1442.479,1378.313,1457.453,1512.69
1381.182,1326.784,1242.839,1258.252
1213.429,1165.7,1316.933,1293.454
1233.243,1199.263,1210.214,1171.109
1572.09,1506.81,1509.962,1386.018
1182.383,1146.994,1245.301,1175.88
1387.877,1304.939,1477.173,1342.684
1383.65,1352.085,1452.125,1375.87
1302.284,1268.622,1322.567,1281.002
1295.461,1255.117,1137.151,1118.037
1600.978,1540.242,1562.827,1499.842
1413.351,1363.31,1437.91,1359.061
1794.548,1788.673,1393.715,1316.626
1304.35,1263.28,1342.599,1268.835
1453.268,1412.248,1437.676,1388.676
1754.741,1756.84,1326.779,1287.018
1612.829,1551.984,1666.356,1589.592
1887.549,1804.401,1845.656,1731.619
1198.896,1146.02,1162.386,1157.327
1502.022,1453.611,1318.385,1296.246
1660.117,1580.136,1324.505,1411.742
1314.25,1274.824,1189.731,1460.108
1349.026,1298.815,1022.08,1427.503
1355.523,1311.462,869.176,1402.539
1340.463,1301.918,807.251,1378.016
1340.639,1315.938,1679.977,1576.567
2894.952,2684.699,3312.049,3072.516
1278.018,1233.51,1335.925,1308.301
1322.087,1271.222,1296.24,1291.625
