,Data,Data
12.61955,9.625315,
,,
,,
,,
12.68735,9.626945,
,,
12.76488,8.983229,
,,
14.41595,-7.146967,
,,
,,
15.12611,-7.664017,
,,
,,
15.35789,-8.339205,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
16.12405,-8.0502,
,,
,,
16.21942,-7.261642,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
16.71673,-6.949871,
,,
16.84745,-7.629352,
