type,TS,row,col
sfp_2,2,L,15
sfp_2,2,L,16
sfp_2,2,L,17
sfp_2,2,L,18
sfp_2,2,L,23
sfp_2,2,L,28
sfp_2,2,M,1
sfp_2,2,M,3
sfp_2,2,M,18
sfp_2,2,M,19
sfp_2,2,M,27
sfp_2,2,N,1
sfp_2,2,N,15
sfp_2,2,N,16
sfp_2,2,N,18
sfp_2,2,N,21
sfp_2,2,N,25
sfp_2,2,N,27
sfp_2,2,N,28
sfp_2,2,O,1
sfp_2,2,O,2
sfp_2,2,O,3
sfp_2,2,O,13
sfp_2,2,O,17
sfp_2,2,O,21
sfp_2,2,P,5
sfp_2,2,P,9
sfp_2,2,P,15
sfp_2,2,P,21
sfp_2,2,P,24
sfp_2,2,P,30
sfp_2,2,Q,5
sfp_2,2,Q,6
sfp_2,2,Q,8
sfp_2,2,Q,9
sfp_2,2,Q,10
sfp_2,2,Q,15
sfp_2,2,Q,16
sfp_2,2,Q,20
sfp_2,2,Q,24
sfp_2,2,Q,29
sfp_2,2,Q,30
sfp_2,2,R,1
sfp_2,2,R,3
sfp_2,2,R,9
sfp_2,2,R,15
sfp_2,2,R,16
sfp_2,2,R,21
sfp_2,2,R,27
sfp_2,2,R,30
sfp_2,2,S,6
sfp_2,2,S,7
sfp_2,2,S,8
sfp_2,2,S,10
sfp_2,2,S,12
sfp_2,2,S,13
sfp_2,2,S,16
sfp_2,2,S,19
sfp_2,2,S,22
sfp_2,2,S,24
sfp_2,2,S,25
sfp_2,2,S,30
sfp_2,2,T,1
sfp_2,2,T,2
sfp_2,2,T,10
sfp_2,2,T,15
sfp_2,2,T,18
sfp_2,2,T,24
sfp_2,2,T,25
sfp_2,2,T,29
sfp_2,2,T,30
sfp_1,3,A,7
sfp_1,3,A,11
sfp_1,3,A,15
sfp_1,3,A,16
sfp_1,3,A,18
sfp_1,3,B,3
sfp_1,3,B,5
sfp_1,3,B,6
sfp_1,3,B,7
sfp_1,3,B,8
sfp_1,3,B,9
sfp_1,3,B,12
sfp_1,3,B,13
sfp_1,3,B,14
sfp_1,3,B,15
sfp_1,3,B,16
sfp_1,3,B,17
sfp_1,3,B,18
sfp_1,3,B,21
sfp_1,3,B,22
sfp_1,3,B,23
sfp_1,3,B,24
sfp_1,3,B,25
sfp_1,3,B,26
sfp_1,3,B,27
sfp_1,3,B,28
sfp_1,3,C,1
sfp_1,3,C,2
sfp_1,3,C,3
sfp_1,3,C,4
sfp_1,3,C,6
sfp_1,3,C,7
sfp_1,3,C,8
sfp_1,3,C,9
sfp_1,3,C,10
sfp_1,3,C,11
sfp_1,3,C,12
sfp_1,3,C,13
sfp_1,3,C,14
sfp_1,3,C,15
sfp_1,3,C,16
sfp_1,3,C,17
sfp_1,3,C,18
sfp_1,3,C,19
sfp_1,3,C,21
sfp_1,3,C,22
sfp_1,3,C,23
sfp_1,3,C,24
sfp_1,3,C,25
sfp_1,3,C,26
sfp_1,3,C,27
sfp_1,3,C,28
sfp_1,3,C,29
sfp_1,3,C,30
sfp_1,3,D,1
sfp_1,3,D,2
sfp_1,3,D,3
sfp_1,3,D,4
sfp_1,3,D,5
sfp_1,3,D,6
sfp_1,3,D,7
sfp_1,3,D,8
sfp_1,3,D,9
sfp_1,3,D,10
sfp_1,3,D,11
sfp_1,3,D,12
sfp_1,3,D,13
sfp_1,3,D,14
sfp_1,3,D,15
sfp_1,3,D,16
sfp_1,3,D,17
sfp_1,3,D,18
sfp_1,3,D,19
sfp_1,3,D,21
sfp_1,3,D,24
sfp_1,3,D,26
sfp_1,3,D,27
sfp_1,3,D,28
sfp_1,3,D,29
sfp_1,3,D,30
sfp_1,3,E,1
sfp_1,3,E,2
sfp_1,3,E,3
sfp_1,3,E,4
sfp_1,3,E,5
sfp_1,3,E,6
sfp_1,3,E,7
sfp_1,3,E,8
sfp_1,3,E,9
sfp_1,3,E,10
sfp_1,3,E,11
sfp_1,3,E,12
sfp_1,3,E,13
sfp_1,3,E,14
sfp_1,3,E,15
sfp_1,3,E,16
sfp_1,3,E,17
sfp_1,3,E,18
sfp_1,3,E,19
sfp_1,3,E,20
sfp_1,3,E,21
sfp_1,3,E,22
sfp_1,3,E,23
sfp_1,3,E,24
sfp_1,3,E,26
sfp_1,3,E,29
sfp_1,3,F,3
sfp_1,3,F,4
sfp_1,3,F,5
sfp_1,3,F,6
sfp_1,3,F,8
sfp_1,3,F,9
sfp_1,3,F,10
sfp_1,3,F,12
sfp_1,3,F,13
sfp_1,3,F,14
sfp_1,3,F,17
sfp_1,3,F,18
sfp_1,3,F,19
sfp_1,3,F,20
sfp_1,3,F,21
sfp_1,3,F,22
sfp_1,3,F,23
sfp_1,3,F,24
sfp_1,3,F,25
sfp_1,3,F,26
sfp_1,3,F,27
sfp_1,3,F,28
sfp_1,3,F,29
sfp_1,3,F,30
sfp_1,3,G,3
sfp_1,3,G,5
sfp_1,3,G,6
sfp_1,3,G,7
sfp_1,3,G,8
sfp_1,3,G,9
sfp_1,3,G,10
sfp_1,3,G,11
sfp_1,3,G,12
sfp_1,3,G,14
sfp_1,3,G,15
sfp_1,3,G,16
sfp_1,3,G,17
sfp_1,3,G,18
sfp_1,3,G,19
sfp_1,3,G,20
sfp_1,3,G,21
sfp_1,3,G,22
sfp_1,3,G,23
sfp_1,3,G,24
sfp_1,3,G,26
sfp_1,3,G,27
sfp_1,3,G,28
sfp_1,3,G,29
sfp_1,3,G,30
sfp_1,3,H,2
sfp_1,3,H,3
sfp_1,3,H,4
sfp_1,3,H,5
sfp_1,3,H,6
sfp_1,3,H,8
sfp_1,3,H,9
sfp_1,3,H,11
sfp_1,3,H,12
sfp_1,3,H,13
sfp_1,3,H,14
sfp_1,3,H,17
sfp_1,3,H,18
sfp_1,3,H,19
sfp_1,3,H,24
sfp_1,3,H,28
sfp_1,3,H,29
sfp_1,3,H,30
sfp_1,3,I,1
sfp_1,3,I,3
sfp_1,3,I,4
sfp_1,3,I,5
sfp_1,3,I,6
sfp_1,3,I,7
sfp_1,3,I,8
sfp_1,3,I,9
sfp_1,3,I,11
sfp_1,3,I,16
sfp_1,3,I,17
sfp_1,3,I,20
sfp_1,3,I,21
sfp_1,3,I,22
sfp_1,3,I,25
sfp_1,3,I,28
sfp_1,3,I,29
sfp_1,3,I,30
sfp_1,3,J,1
sfp_1,3,J,2
sfp_1,3,J,3
sfp_1,3,J,4
sfp_1,3,J,6
sfp_1,3,J,7
sfp_1,3,J,8
sfp_1,3,J,10
sfp_1,3,J,15
sfp_1,3,J,16
sfp_1,3,J,17
sfp_1,3,J,19
sfp_1,3,J,20
sfp_1,3,J,21
sfp_1,3,J,22
sfp_1,3,J,23
sfp_1,3,J,24
sfp_1,3,J,25
sfp_1,3,J,26
sfp_1,3,J,27
sfp_1,3,J,28
sfp_1,3,J,29
sfp_1,3,K,1
sfp_1,3,K,2
sfp_1,3,K,3
sfp_1,3,K,4
sfp_1,3,K,9
sfp_1,3,K,11
sfp_1,3,K,13
sfp_1,3,K,17
sfp_1,3,K,18
sfp_1,3,K,19
sfp_1,3,K,22
sfp_1,3,K,23
sfp_1,3,K,25
sfp_1,3,K,26
sfp_1,3,K,27
sfp_1,3,K,28
sfp_1,3,L,1
sfp_1,3,L,2
sfp_1,3,L,3
sfp_1,3,L,4
sfp_1,3,L,5
sfp_1,3,L,7
sfp_1,3,L,9
sfp_1,3,L,14
sfp_1,3,L,15
sfp_1,3,L,16
sfp_1,3,L,17
sfp_1,3,L,19
sfp_1,3,L,20
sfp_1,3,L,22
sfp_1,3,L,23
sfp_1,3,L,24
sfp_1,3,L,25
sfp_1,3,L,26
sfp_1,3,L,29
sfp_1,3,M,1
sfp_1,3,M,2
sfp_1,3,M,5
sfp_1,3,M,11
sfp_1,3,M,15
sfp_1,3,M,17
sfp_1,3,M,20
sfp_1,3,M,23
sfp_1,3,M,25
