x,y
-26.73555,10.237972
17.735725,1.1170723
14.838397,4.2041416
14.304944,-8.871601
16.383057,0.9071272
15.417642,-23.00114
14.6509495,-26.410307
13.046562,-26.549572
15.365982,-11.757428
5.4617257,-24.20033
17.788166,3.937365
17.050415,5.752344
15.544358,-24.144863
12.661252,-7.0805836
15.603731,-24.089806
15.944096,-27.512407
19.444437,-21.637169
18.766953,4.9329696
20.186094,-6.5140767
15.237372,1.6811761
14.245921,-12.713927
14.836456,-2.313423
14.174277,-25.517061
13.026324,-2.0196357
13.735331,-25.634457
18.816498,-15.651937
14.268659,-1.2307037
16.782347,-0.4305786
14.063461,-2.7023482
7.2563605,-24.597397
15.915608,-20.160513
19.574879,-21.608429
12.223397,-14.916387
15.850117,4.035079
15.89698,7.6326756
19.368696,3.555375
18.842192,-21.58371
11.432476,0.28240886
5.9730015,-23.896221
15.147326,0.59439707
20.23274,-18.71811
11.180679,-7.672454
9.385888,3.4546924
16.189796,2.3567705
22.838636,-6.1443744
16.292002,-1.6066358
18.073706,1.3878758
18.833822,-9.264022
17.914793,-18.796886
13.787855,-10.063755
15.242505,-0.41445148
14.180522,-25.857555
14.159581,3.1258175
13.290165,-26.184221
19.501457,-21.643322
8.9814825,-13.293346
-24.606024,12.758895
20.33982,3.8023193
21.84437,-6.641796
10.280643,-1.265322
13.329159,-25.070429
-27.311804,11.897038
17.602798,1.1872666
13.272231,-3.1747983
12.37331,-1.0062212
21.978333,-6.2656603
19.999828,5.6372285
23.205526,-6.817896
-27.473839,10.344178
12.9782095,-24.654093
5.093904,-22.212183
-28.096165,8.838806
3.3885481,3.417337
15.414629,-12.038127
-28.923988,11.478486
18.211185,8.296932
19.841856,-21.513971
20.169912,-20.800829
20.67642,-8.218688
17.313622,-20.480974
16.29078,-11.360762
19.58988,-2.547894
15.0142975,-3.2558882
7.380149,-26.116144
20.643026,4.594795
18.886873,-10.9511
7.0861306,-23.508034
22.280546,-8.367774
-27.89607,11.252693
18.69121,-3.5110664
12.807793,1.3854928
12.189625,-2.7265377
15.88407,-27.24582
-28.267189,9.809306
20.725626,-16.434517
7.0433593,-22.93715
8.754823,-24.624022
16.647852,-22.861973
-29.263334,12.158412
-53.625183,-10.525033
-53.427586,-7.438431
-52.3499,-11.926788
-49.404644,-9.798919
-48.75741,-9.072185
-47.65293,-11.359467
-47.825447,-14.234686
-48.30476,-15.201135
-52.62676,-11.801946
-51.20478,-9.533951
-48.06999,-15.860757
-52.481735,-13.755093
-51.67958,-13.453209
-52.510315,-16.153278
-54.85694,-13.785817
-53.969677,-8.66708
-50.984997,-14.201822
-49.391376,-9.849571
-54.192738,-8.552618
-47.158558,-12.126948
-53.7022,-15.270256
-53.65653,-13.169831
-50.139744,-13.98554
-53.46256,-10.04145
-52.858982,-9.721604
-49.33601,-12.634354
-46.614754,-13.087128
-47.746723,-11.034672
-51.20595,-9.534229
-53.144756,-14.180888
-54.812325,-13.6289425
-48.49572,-15.241943
-53.803364,-15.29837
-50.555622,-11.831053
-50.025032,-16.043541
-45.92725,-11.525692
-52.326553,-9.63252
-47.297386,-13.86373
-50.51096,-15.932109
-50.397755,-11.548301
-52.87233,-14.179499
-46.1011,-12.44979
-52.603508,-16.071516
-54.6592,-11.186371
-50.272057,-10.72145
-48.75571,-11.302458
-49.846703,-8.590403
-51.480484,-10.689589
-52.340107,-14.398219
-54.560986,-13.930394
-48.104576,-15.708159
-48.301323,-15.385322
-53.40442,-8.018508
-53.020576,-10.896968
-51.92755,-13.745858
-49.433075,-12.75093
-51.080013,-12.917822
-48.567974,-12.206146
-49.979263,-10.95569
-46.377335,-10.30857
-48.323463,-8.990133
-45.98768,-11.037659
-51.218998,-10.058768
-48.996765,-12.082226
-47.92466,-8.851194
-52.481205,-11.746617
-50.983624,-14.201866
-53.19492,-9.064632
-53.335037,-12.386807
-50.54131,-16.096626
-50.649662,-8.531226
-52.1217,-14.612431
-51.54319,-10.856822
-49.706665,-10.576052
-46.24131,-10.484995
-54.544426,-10.181145
-48.926365,-11.742523
-49.847446,-8.59018
-48.972412,-13.980453
-53.75134,-12.709165
-50.43138,-13.574846
-46.217056,-10.413447
-47.46277,-14.0185375
-52.713364,-8.449327
-54.590645,-10.596797
-54.028538,-7.7950625
-51.919147,-7.580832
-53.585403,-15.399533
-48.88339,-13.592846
-53.37862,-10.259301
-51.144566,-8.8151045
-50.424393,-8.629687
-54.219692,-13.040395
-53.877907,-8.294333
-52.330006,-9.15326
-47.822144,-11.067918
-50.065636,-15.957954
-49.208866,-14.855762
-46.717888,-13.217359
-49.012527,-11.7870865
25.759241,1.1357887
26.635767,1.0756487
15.388938,-1.6426641
6.4399514,1.2681762
21.338232,-1.0960699
4.497219,-3.6308157
0.5653737,-20.052263
17.90189,-25.54334
-2.2905576,-5.604509
1.7069194,-8.195668
13.4357195,-0.78918725
3.20817,-4.0474863
4.048146,-0.28806368
-19.266249,9.196388
-19.421783,7.7532973
-19.079706,8.91548
-19.147581,8.118845
-29.517698,10.988683
-28.530716,10.692306
-29.834887,10.404849
-29.094193,10.107045
-3.0340705,3.599916
-2.5079963,3.559943
-2.3959475,3.8106265
-2.9887004,3.587789
-0.64656615,0.8078436
-5.262915,3.7282917
-3.061088,3.6530375
-3.6811981,10.48512
10.377558,-17.64714
26.03646,-10.314525
8.145227,-20.575788
18.897873,-24.551437
11.810391,-20.053331
24.0102,-4.217311
11.576738,-22.491224
