x,y
16.24674,-3.3220863
4.6166086,-4.793628
6.5280514,-13.178177
6.6566653,-6.033373
10.453167,-0.6099974
10.680512,-11.87201
-5.2411594,-18.98738
14.946601,-7.400808
-11.742508,0.05367124
12.793915,0.5603275
10.940456,-11.1029415
-6.669239,-17.070824
10.977763,-10.269753
-13.878954,6.3940825
17.755787,8.091825
11.778153,0.8287866
10.982525,5.008571
12.546376,-12.344213
1.8855821,-7.535807
-1.3431603,-7.461416
-2.8083253,-18.943714
2.3953338,-25.516588
10.630592,2.4041624
-1.167474,-11.345932
6.75015,-10.282828
16.673758,-6.4922457
0.28733808,-5.149868
-0.42316413,-17.267498
12.00203,-11.471263
8.67168,-23.203733
-3.2415562,-25.642202
13.990433,-4.556705
6.0193872,1.8610103
-4.374904,-19.23001
0.19826797,-17.603283
10.650545,1.0711193
4.687253,-8.313748
7.170556,-8.414139
12.332482,-1.2626437
-4.1250772,-4.5517898
16.644545,-11.718003
10.197624,-8.459155
12.450977,0.6307178
11.074672,-0.983815
1.5902177,-1.8059473
-1.4053191,15.130577
-3.7131746,-17.7712
-5.837212,-20.12325
-6.237734,10.97164
6.6154604,-16.705492
15.653819,1.9654442
14.125046,-0.895153
2.4958692,-25.654163
3.2946923,-24.592007
0.016191836,-13.46337
-5.328836,0.75608844
15.554644,-13.540117
15.604345,-5.6813507
-2.9019141,-25.224741
6.4328985,-20.201027
-4.8610797,-0.151749
7.397214,-18.696053
-3.284504,-25.821852
-5.290793,0.70179176
-1.0589893,-23.017788
5.5809536,-0.6488915
-1.1509662,-16.950552
-1.331386,1.5988187
6.2118616,-14.515458
-0.46902755,-24.45121
8.349298,1.7114195
19.929506,-13.603922
11.661587,2.4776843
-5.7637677,-22.796612
5.757135,-14.791745
9.06319,-15.071038
13.857976,-12.7189865
2.7399063,-20.10021
3.475243,-10.378919
-7.236099,-7.6892204
10.934301,-17.179474
-2.7518337,-23.08548
6.561173,-10.189981
16.296673,-8.053418
6.6125503,-4.989262
16.63858,-6.4339747
-3.6408904,-13.977346
11.046174,-6.3692164
-2.7457087,-8.128621
-8.460343,-4.9529076
10.031825,2.893339
-1.8928951,-12.868418
-2.4607425,2.2779691
-3.4708974,-11.673682
13.128126,-12.501722
3.3504896,-13.445929
5.533939,-14.930218
-3.6337593,-26.491024
-51.565495,-11.893912
-45.2287,-10.276048
-51.18581,-12.8757
-45.065903,-9.128746
-51.440117,-11.023001
-49.8047,-11.93872
-48.592255,-8.111244
-45.120182,-8.747593
-45.265213,-14.733027
-44.379055,-13.896062
-43.95011,-13.342336
-47.224422,-13.490262
-48.97218,-9.624875
-43.419437,-11.063974
-49.643692,-14.458019
-49.61431,-13.352699
-45.084137,-10.553168
-50.04156,-11.971658
-47.258034,-12.180718
-44.248035,-8.572571
-50.48012,-9.02381
-44.982513,-14.511957
-44.755955,-12.577319
-47.219524,-8.174203
-50.848034,-9.691548
-46.55622,-10.352349
-45.18985,-8.585483
-46.42183,-13.187185
-49.55252,-11.417527
-47.844555,-7.1667223
-47.42729,-9.114005
-46.2715,-8.816753
-45.28279,-12.817005
-48.62344,-6.391199
-46.914536,-10.442168
-49.552887,-14.337049
-48.15976,-9.843592
-47.9312,-10.332021
-47.14399,-8.248242
-48.420475,-11.481967
-45.57715,-11.447318
